Name,Team,GS,IP,ERA,K%,BB%,ERA_est
Hunter Bigge,Tampa Bay Rays,0,5.3,1.69,0.0909,0.2273,4.51
Aaron Civale,Athletics,3,15.7,1.72,0.1935,0.0806,4.21
Dylan Cease,Toronto Blue Jays,4,20.7,1.74,0.3596,0.1348,3.42
Brent Headrick,New York Yankees,0,10.3,1.74,0.25,0.1042,3.87
Jovani Morán,Boston Red Sox,0,10.3,1.74,0.3,0.125,4.08
Carmen Mlodzinski,Pittsburgh Pirates,3,20.3,1.77,0.2299,0.092,3.62
Graham Ashcraft,Cincinnati Reds,0,10.0,1.8,0.3421,0.1053,3.79
Danny Coulombe,Boston Red Sox,0,5.0,1.8,0.1,0.1,4.36
Jimmy Herget,Colorado Rockies,2,10.0,1.8,0.1842,0.0526,3.94
Grant Taylor,Chicago White Sox,4,9.7,1.86,0.3333,0.0769,3.77
Kenley Jansen,Detroit Tigers,0,4.7,1.93,0.3889,0.0556,4.15
Sam Moll,Cincinnati Reds,0,9.3,1.93,0.2105,0.1579,4.22
Clay Holmes,New York Mets,4,23.0,1.96,0.172,0.0968,4.19
Eduardo Rodriguez,Arizona Diamondbacks,4,23.0,1.96,0.1458,0.0938,4.21
Cooper Criswell,Seattle Mariners,0,9.0,2.0,0.2424,0.0909,4.36
Erik Sabrowski,Cleveland Guardians,0,9.0,2.0,0.4118,0.0882,3.94
Cristopher Sánchez,Philadelphia Phillies,4,22.3,2.01,0.3263,0.0737,3.34
Shawn Armstrong,Cleveland Guardians,0,8.7,2.08,0.3158,0.1316,4.33
Mitch Farris,Los Angeles Angels,0,4.3,2.08,0.1579,0.1053,4.34
Connor Seabold,Detroit Tigers,0,8.7,2.08,0.2571,0.0857,4.33
Yoshinobu Yamamoto,Los Angeles Dodgers,4,25.7,2.1,0.2211,0.0316,3.89
Justin Wrobleski,Los Angeles Dodgers,2,17.0,2.12,0.0952,0.0794,3.95
Yohan Ramírez,Pittsburgh Pirates,0,12.7,2.13,0.2885,0.1346,3.88
Nick Martinez,Tampa Bay Rays,3,16.7,2.16,0.1667,0.0606,4.39
Hoby Milner,Chicago Cubs,0,8.3,2.16,0.0312,0.0,4.34
Wandy Peralta,San Diego Padres,0,8.3,2.16,0.1892,0.0811,4.19
Tomoyuki Sugano,Colorado Rockies,3,16.7,2.16,0.1905,0.0476,4.52
Bryan Woo,Seattle Mariners,4,25.0,2.16,0.2062,0.0515,3.39
Reynaldo López,Atlanta Braves,4,20.7,2.18,0.2262,0.0952,4.3
Cade Povich,Baltimore Orioles,1,12.3,2.19,0.1458,0.0625,4.11
Tarik Skubal,Detroit Tigers,4,24.3,2.22,0.2421,0.0421,3.47
Garrett Acton,Minnesota Twins,0,4.0,2.25,0.3333,0.1333,4.11
Didier Fuentes,Atlanta Braves,0,4.0,2.25,0.2667,0.0667,4.05
Sean Manaea,New York Mets,0,12.0,2.25,0.1961,0.1176,4.17
George Soriano,St. Louis Cardinals,0,8.0,2.25,0.1562,0.125,4.14
Victor Vodnik,Colorado Rockies,0,8.0,2.25,0.1429,0.1143,4.36
Emerson Hancock,Seattle Mariners,4,23.7,2.28,0.2941,0.0471,3.63
Nolan McLean,New York Mets,4,23.7,2.28,0.3146,0.0899,3.51
Connelly Early,Boston Red Sox,4,19.7,2.29,0.2381,0.119,4.0
Kyle Freeland,Colorado Rockies,3,15.7,2.3,0.194,0.0597,4.11
Kai-Wei Teng,Houston Astros,0,11.7,2.31,0.2444,0.0889,4.26
Kody Funderburk,Minnesota Twins,0,7.7,2.35,0.2222,0.1944,4.41
Bryan Hudson,Chicago White Sox,0,7.7,2.35,0.2647,0.1176,4.01
Braxton Ashcraft,Pittsburgh Pirates,4,22.7,2.38,0.2967,0.0769,3.3
Hogan Harris,Athletics,0,11.3,2.38,0.2075,0.2264,4.23
Connor Phillips,Cincinnati Reds,0,11.3,2.38,0.2353,0.2157,4.42
Landen Roupp,San Francisco Giants,4,22.7,2.38,0.2667,0.0778,3.45
Gavin Williams,Cleveland Guardians,4,22.7,2.38,0.3258,0.1798,4.28
Brent Suter,Los Angeles Angels,1,15.0,2.4,0.2542,0.1017,4.17
Chase Burns,Cincinnati Reds,4,22.3,2.42,0.25,0.1023,4.17
Kevin Gausman,Toronto Blue Jays,4,22.3,2.42,0.3523,0.0568,3.45
Robbie Ray,San Francisco Giants,4,22.3,2.42,0.2727,0.1136,4.37
Fernando Cruz,New York Yankees,0,7.3,2.45,0.303,0.2121,4.14
Zach Eflin,Baltimore Orioles,1,3.7,2.45,0.4118,0.1176,4.22
Ryan Helsley,Baltimore Orioles,0,7.3,2.45,0.3333,0.1212,3.9
Cade Horton,Chicago Cubs,2,7.3,2.45,0.1538,0.0769,4.25
Shota Imanaga,Chicago Cubs,4,22.0,2.45,0.378,0.061,3.46
Paul Sewald,Arizona Diamondbacks,0,7.3,2.45,0.3846,0.0,4.17
Chase Silseth,Los Angeles Angels,0,7.3,2.45,0.2727,0.1818,4.29
Will Warren,New York Yankees,4,18.3,2.45,0.25,0.075,3.99
Michael McGreevy,St. Louis Cardinals,4,21.7,2.49,0.1463,0.0366,4.22
Cam Schlittler,New York Yankees,4,21.7,2.49,0.3704,0.0123,3.22
Randy Vásquez,San Diego Padres,4,21.7,2.49,0.2778,0.0889,3.65
Davis Martin,Chicago White Sox,3,18.0,2.5,0.2143,0.0571,4.06
Jose A. Ferrer,Seattle Mariners,0,7.0,2.57,0.1935,0.0323,3.93
Gabe Speier,Seattle Mariners,0,7.0,2.57,0.2143,0.0357,3.98
Blade Tidwell,San Francisco Giants,0,7.0,2.57,0.24,0.04,4.14
Garrett Whitlock,Boston Red Sox,0,7.0,2.57,0.3548,0.1613,4.18
Anthony Kay,Chicago White Sox,2,17.3,2.6,0.1538,0.1154,4.53
JT Brubaker,San Francisco Giants,0,10.3,2.61,0.1778,0.1778,4.37
Joey Cantillo,Cleveland Guardians,4,20.7,2.61,0.2963,0.1111,3.92
Sandy Alcantara,Miami Marlins,4,30.3,2.67,0.1897,0.0517,3.93
Michael King,San Diego Padres,4,22.7,2.78,0.2151,0.1075,4.0
